ab_speed,total_force,FlexXForce,LatXForce
0,42.95094306,0,0
0.00034,42.94933161,0,0.000214747
0.00001,42.94799939,0.00128844,0.000257688
0.00035,42.94514189,0.004294514,0.000858903
0.00025,42.97344687,0.006016283,0.001461097
0.00004,43.03542373,0.008607085,0.002022665
0.00008,43.16529651,0.010791324,0.002287761
0.00012,43.23054111,0.012536857,0.002464141
0.00012,43.28749499,0.015150623,0.00259725
0.00013,43.33512179,0.0177674,0.002513437
0.00175,43.35045723,0.010837614,0.005158704
0.00037,43.35110173,0.014305864,0.004378461
0.00037,43.35251412,0.017774531,0.003684964
0.0001,43.37011585,0.017781747,0.00381657
0.00004,43.64953315,0.017459813,0.003884808
0.00004,45.54756502,0.018674502,0.004008186
0.00021,47.60516889,0.021422326,0.003760808
0.00109,50.58261275,0.032878698,0.001669226
0.00074,52.75964087,0.043262906,5.27596E-05
0.00023,53.74917928,0.052674196,0.000591241
0.00061,54.54045148,0.067084755,0.001745294
0.00068,55.36134441,0.072523361,0.000221445
0.00076,55.40329958,0.077010586,0.001551292
0.00013,55.40821484,0.086436815,0.00249337
0.00026,55.41332262,0.099743981,0.003269386
0.00146,55.44167126,0.100903842,0.006375792
0.00143,55.6460016,0.104058023,0.009515466
0.00084,56.97603236,0.107684701,0.011509159
0.00027,58.73298959,0.11218001,0.012510127
0.00022,61.746499,0.117935813,0.013522483
0.00008,64.14322832,0.121872134,0.014239797
0.0002,66.02984856,0.128097906,0.014526567
0.0011,67.75180522,0.144311345,0.014160127
0.00165,69.12877828,0.167291643,0.013756627
0.00148,70.35676131,0.192777526,0.014704563
0.00017,70.41170423,0.216868049,0.019081572
0.0002,70.42415081,0.240146354,0.023803363
0.00087,70.43668996,0.262024487,0.030569523
0.00217,70.50075081,0.272837906,0.036519389
0.00153,70.85275049,0.286245112,0.041448859
0.00252,72.76769169,0.29980289,0.047007929
0.00005,75.05130654,0.309211383,0.048633247
0.00001,77.42662167,0.319771947,0.050249877
0,79.46501843,0.328190526,0.051572797
0.00002,81.39393788,0.337784842,0.053150241
0.0001,83.1838903,0.351867856,0.055483655
0.00047,84.82331167,0.393580166,0.062938897
0.00008,86.31139169,0.431556958,0.070171161
0.0005,87.09001447,0.461577077,0.076377943
0.0005,87.1106553,0.488690776,0.081971127
0.00018,87.13141179,0.520174528,0.0876542
0.00174,87.23689195,0.54086873,0.093779659
