speed,difference_flex,difference_lateral,sterm_mast,sterm_mast_acc,sterm_mast_L,sterm_mast_L_acc
0,0,0,0,0,0.002444859,0
-0.00034,0,0.000005,0,0,0.002471985,0.002471985
0.00001,0.00003,0.000006,0,0,0.002499097,0.004971082
0.00035,0.0001,0.00002,0,0,0.00263,0.007605838
-0.00025,0.00014,0.000034,0,0,0.003130968,0.010736806
-0.00004,0.0002,0.000047,0,0,0.003633239,0.014370045
-0.00008,0.00025,0.000053,0,0,0.00451,0.018884452
-0.00012,0.00029,0.000057,0,0,0.00498,0.023867297
-0.00012,0.00035,0.00006,0,0,0.005435937,0.029303234
-0.00013,0.00041,0.000058,0,0,0.005877686,0.035180921
-0.00175,0.00025,0.000119,0,0,0.006037714,0.041218635
0.00037,0.00033,0.000101,0,0,0.006041864,0.047260499
0.00037,0.00041,0.000085,0,0,0.006046012,0.053306512
-0.0001,0.00041,0.000088,0,0,0.006066705,0.059373217
-4E-05,0.0004,0.000089,0,0,0.00616715,0.065540367
4E-05,0.00041,0.000088,0,0,0.00644,0.071979474
0.00021,0.00045,0.000079,0,0,0.00659,0.07856876
0.00109,0.00065,0.000033,0,0,0.00663233,0.08520109
0.00074,0.00082,0.000001,0,0,0.006517558,0.091718648
0.00023,0.00098,0.000011,0,0,0.006411071,0.098129719
0.00061,0.00123,0.000032,0,0,0.006298199,0.104427918
-0.00068,0.00131,0.000004,0,0,0.006140597,0.110568515
-0.00076,0.00139,0.000028,0,0,0.006131434,0.116699949
-0.00013,0.00156,0.000045,0,0,0.006130361,0.12283031
0.00026,0.0018,0.000059,0,0,0.006129287,0.128959597
-0.00146,0.00182,0.000115,0,0,0.00612392,0.135083517
-0.00143,0.00187,0.000171,0,0,0.006097046,0.141180562
-0.00084,0.00189,0.000202,0,0,0.005989681,0.147170243
-0.00027,0.00191,0.000213,0,0,0.005842269,0.153012512
-0.00022,0.00191,0.000219,0,0,0.005484872,0.158497384
-8E-05,0.0019,0.000222,0,0,0.00509264,0.163590024
0.0002,0.00194,0.00022,0,0,0.00473,0.168319793
0.0011,0.00213,0.000209,0,0,0.004359979,0.172679772
0.00165,0.00242,0.000199,0,0,0.004048733,0.176728505
0.00148,0.00274,0.000209,0,0,0.00375461,0.180483114
0.00017,0.00308,0.000271,0,0,0.003741366,0.184224481
