ab_speed,difference_flex,difference_lateral,total_power
0,0,0,0.08296444
0.00034,0,0.000005,0.08387692
0.00001,0.00003,0.000006,0.08478938
0.00035,0.0001,0.00002,0.08936226
0.00025,0.00014,0.000034,0.10617978
0.00004,0.0002,0.000047,0.12331334
0.00008,0.00025,0.000053,0.1535161
0.00012,0.00029,0.000057,0.1695934
0.00012,0.00035,0.00006,0.18513033
0.00013,0.00041,0.000058,0.20024769
0.00175,0.00025,0.000119,0.2057139
0.00037,0.00033,0.000101,0.20585551
0.00037,0.00041,0.000085,0.20599687
0.0001,0.00041,0.000088,0.20669933
4E-05,0.0004,0.000089,0.21004214
4E-05,0.00041,0.000088,0.21828163
0.00021,0.00045,0.000079,0.22147956
0.00109,0.00065,0.000033,0.2185512
0.00074,0.00082,0.000001,0.20995362
0.00023,0.00098,0.000011,0.20360693
0.00061,0.00123,0.000032,0.1971501
0.00068,0.00131,0.000004,0.18835756
0.00076,0.00139,0.000028,0.18783742
0.00013,0.00156,0.000045,0.18777656
0.00026,0.0018,0.000059,0.18771571
0.00146,0.00182,0.000115,0.1874117
0.00143,0.00187,0.000171,0.18589577
0.00084,0.00189,0.000202,0.18016093
0.00027,0.00191,0.000213,0.173376
0.00022,0.00191,0.000219,0.15928033
8E-05,0.0019,0.000222,0.14527972
0.0002,0.00194,0.00022,0.13294608
0.0011,0.00213,0.000209,0.12079358
0.00165,0.00242,0.000199,0.11076909
0.00148,0.00274,0.000209,0.10145579
0.00017,0.00308,0.000271,0.10103833
0.0002,0.00341,0.000338,0.10094393
0.00087,0.00372,0.000434,0.10084962
0.00217,0.00387,0.000518,0.10037958
0.00153,0.00404,0.000585,0.09806901
0.00252,0.00412,0.000646,0.08887937
5E-05,0.00412,0.000648,0.07974629
1E-05,0.00413,0.000649,0.06986988
0,0.00413,0.000649,0.06028361
2E-05,0.00415,0.000653,0.05022448
0.0001,0.00423,0.000667,0.03979654
0.00047,0.00464,0.000742,0.02947536
8E-05,0.005,0.000813,0.01935076
0.0005,0.0053,0.000877,0.0138594
0.0005,0.00561,0.000941,0.01371169
0.00018,0.00597,0.001006,0.01356411
0.00174,0.0062,0.001075,0.01282813
