ab_speed,total_power,flexionXPower,lateralXPower
0,0.08296444,0,0
0.00034,0.08387692,0,1.48606E-06
0.00001,0.08478938,5.68128E-06,1.80267E-06
0.00035,0.08936226,1.9959E-05,6.33297E-06
0.00025,0.10617978,3.32012E-05,1.27922E-05
0.00004,0.12331334,5.50838E-05,2.05367E-05
0.00008,0.1535161,8.57191E-05,2.88305E-05
0.00012,0.1695934,0.000109848,3.42536E-05
0.00012,0.18513033,0.00014472,3.93597E-05
0.00013,0.20024769,0.000183373,4.11546E-05
0.00175,0.2057139,0.000114865,8.67428E-05
0.00037,0.20585551,0.000151726,7.36727E-05
0.00037,0.20599687,0.000188638,6.20444E-05
0.0001,0.20669933,0.000189281,6.44532E-05
0.00004,0.21004214,0.000187651,6.62399E-05
0.00004,0.21828163,0.000199887,6.80648E-05
0.00021,0.22147956,0.000222602,6.19989E-05
0.00109,0.2185512,0.000317286,2.55558E-05
0.00074,0.20995362,0.000384522,7.43954E-07
0.00023,0.20360693,0.000445659,7.93612E-06
0.00061,0.1971501,0.000541609,2.23548E-05
0.00068,0.18835756,0.00055111,2.66972E-06
0.00076,0.18783742,0.000583151,1.86364E-05
0.00013,0.18777656,0.000654259,2.99417E-05
0.00026,0.18771571,0.00075467,3.92442E-05
0.00146,0.1874117,0.000761819,7.63691E-05
0.00143,0.18589577,0.000776417,0.000112639
0.00084,0.18016093,0.000760512,0.000128954
0.00027,0.173376,0.000739616,0.000130855
0.00022,0.15928033,0.000679484,0.000123603
0.00008,0.14527972,0.000616513,0.000114283
0.0002,0.13294608,0.000576051,0.000103639
0.0011,0.12079358,0.000574655,8.94568E-05
0.00165,0.11076909,0.000598712,7.81078E-05
0.00148,0.10145579,0.000620885,7.51357E-05
0.00017,0.10103833,0.000695057,9.70238E-05
0.0002,0.10094393,0.000768809,0.000120898
0.00087,0.10084962,0.000837917,0.000155091
0.00217,0.10037958,0.000867641,0.000184246
0.00153,0.09806901,0.000884906,0.000203287
0.00252,0.08887937,0.000817866,0.000203449
0.00005,0.07974629,0.000733823,0.000183108
0.00001,0.06986988,0.000644501,0.000160678
0,0.06028361,0.000556075,0.000138633
0.00002,0.05022448,0.00046553,0.000116212
0.0001,0.03979654,0.000375984,9.40577E-05
0.00047,0.02947536,0.000305465,7.74972E-05
0.00008,0.01935076,0.000216099,5.57457E-05
0.0005,0.0138594,0.000164061,4.30692E-05
0.0005,0.01371169,0.000171806,4.57197E-05
0.00018,0.01356411,0.000180863,4.83518E-05
0.00174,0.01282813,0.000177639,4.88647E-05
0.00007,0.00918826,0.000129083,3.54881E-05
0.00001,0,0,0
0.0002,0,0,0
0.00002,0,0,0
0.00017,0,0,0
0.00083,0,0,0
0.00174,0,0,0
0.00076,0,0,0
0.0003,0,0,0
0.00029,0,0,0
0.00035,0,0,0
0.00005,0,0,0
0.00151,0,0,0
0.00017,0,0,0
0.00018,0.05235195,0.001028962,0.000303115
0.00027,0.1004485,0.001981016,0.000580524
0.00004,0.14882924,0.002935167,0.000860132
0.00025,0.1951267,0.003861306,0.001136689
0.00133,0.23698078,0.004747767,0.001436766
0.00374,0.27338335,0.005654144,0.001848304
0.00209,0.30340269,0.006437642,0.002196397
0.00027,0.32725019,0.00719946,0.002474556
0.00042,0.34484055,0.007856015,0.002716319
0.00068,0.34751764,0.008157618,0.002885175
0.00069,0.34756012,0.00839926,0.003040703
0.00084,0.34760267,0.008633198,0.003117441
0.00165,0.34781625,0.008747261,0.003078685
0.00199,0.34889848,0.008860196,0.003019032
0.00277,0.35423734,0.009090718,0.002947239
0.00045,0.36114333,0.009276011,0.002985502
0.00024,0.36884266,0.009490245,0.003038695
0.00017,0.37878563,0.009771456,0.003142085
0.00125,0.39665593,0.010321045,0.003416818
0.00396,0.4360365,0.011696331,0.004216473
0.00014,0.49620676,0.013642832,0.004982938
0.0016,0.52983572,0.014993453,0.005391985
0.00088,0.57612305,0.0166636,0.006152923
0.00112,0.62843664,0.018667964,0.00712136
0.00147,0.62947304,0.019148645,0.007215632
0.00003,0.63050924,0.01956039,0.007459863
0.000991,0.63568857,0.020218,0.007946867
0.003016,0.66165327,0.02122114,0.007973703
0.002793,0.73607984,0.023772619,0.00854721
0.000443,0.81116404,0.026251908,0.009367335
0.000365,0.86390333,0.028016609,0.010086571
0.002129,0.91324643,0.029943175,0.01126458
0.004689,0.96876509,0.032564078,0.013422031
0.003617,0,0,0
0.003852,0,0,0
0.003018,0,0,0
0.002218,0,0,0
0.001917,0,0,0
0.000739,0,0,0
0.001015,0,0,0
0.000242,0,0,0
0.000252,0,0,0
0.001599,0,0,0
0.002275,0,0,0
0.003995,0,0,0
0.002595,0,0,0
0.002,0,0,0
0.003347,0,0,0
0.00361,0,0,0
0.004148,0,0,0
0.003306,0,0,0
0.003004,0,0,0
0.0014622,0,0,0
0.0015594,0,0,0
0.000374,0,0,0
0.0002132,0,0,0
0.0014247,0,0,0
0.0024775,0,0,0
0.0029607,0,0,0
0.0039016,0,0,0
0.0015279,0,0,0
0.0019092,0,0,0
0.0001198,0,0,0
0.0034468,0,0,0
0.0029966,0,0,0
0.0014099,0,0,0
0.0018597,0,0,0
0.0000984,0,0,0
0.000096,0,0,0
0.000092,0,0,0
0.002584,0,0,0
0.002518,0,0,0
0.002912,0,0,0
0.003792,0,0,0
0.003163,0,0,0
0.001594,0,0,0
0.003587,0,0,0
0.004788,0,0,0
0.003243,0,0,0
0.003242,0,0,0
0.002901,0,0,0
0.001203,0,0,0
0.000371,0,0,0
0.001707,0,0,0
0.000044,0,0,0
0.001638,0,0,0
0.003997,0,0,0
0.003112,0,0,0
0.003209,0,0,0
0.003297,0,0,0
0.003294,0,0,0
0.003186,0,0,0
0.000171,0,0,0
0.002825,0,0,0
0.002999,0,0,0
0.005141,0,0,0
0.003971,0,0,0
0.002933,0,0,0
0.002394,0,0,0
0.00047,0,0,0
0.000092,0,0,0
0.002524,0,0,0
0.000471,0,0,0
0.002995,0,0,0
0.004398,0,0,0
0.00287,0,0,0
0.00269,0,0,0
0.00306,0,0,0
0.00024,0,0,0
0.00231,0,0,0
0.00315,0,0,0
0.00311,0,0,0
0.00325,0,0,0
0.00323,0,0,0
0.00302,0,0,0
0.00192,0,0,0
0.00095,0,0,0
0.00188,0,0,0
0.00265,0,0,0
0.00342,0,0,0
0.00368,0,0,0
0.00292,0,0,0
0.00267,0,0,0
0.00234,0,0,0
0.00119,0,0,0
0.00018,0,0,0
0.00405,0,0,0
0.00338,0,0,0
0.00342,0,0,0
0.00289,0,0,0
0.00275,0,0,0
0.00211,0,0,0
0.00131,0,0,0
0.00204,0,0,0
0.00417,0,0,0
0.00532,0,0,0
0.00259,0,0,0
0.00314,0,0,0
0.00397,0,0,0
0.00128,0,0,0
0.00407,0,0,0
0.00245,0,0,0
0.00178,0,0,0
0.00319,0,0,0
0.00329,0,0,0
0.00265,0,0,0
0.00239,0,0,0
0.00126,0,0,0
0.00311,0,0,0
0.00211,0,0,0
0.0024,0,0,0
0.00385,0,0,0
0.00285,0,0,0
0.00282,0,0,0
0.00268,0,0,0
0.00271,0,0,0
0.00052,0,0,0
0.00049,0,0,0
0.00213,0,0,0
0.00215,0,0,0
0.00274,0,0,0
0.0021,0,0,0
0.00123,0,0,0
0.00217,0,0,0
0.0003,0,0,0
0.00029,0,0,0
0.00266,0,0,0
0.00237,0,0,0
0.00234,0,0,0
0.00208,0,0,0
0.00146,0,0,0
0.00117,0,0,0
0.00113,0,0,0
0.00172,0,0,0
0.00184,0,0,0
0.00235,0,0,0
0.0015,0,0,0
0.00026,0,0,0
0.00101,0,0,0
0.00111,0,0,0
0.00164,0,0,0
0.00241,0,0,0
0.00245,0,0,0
0.00173,0,0,0
0.0014,0,0,0
0.00057,0,0,0
0.00141,0,0,0
0.00046,0,0,0
0.00178,0,0,0
0.00252,0,0,0
0.00105,0,0,0
0.00043,0,0,0
0.00301,0,0,0
0.0003,0,0,0
0.00101,0,0,0
0.0027,0,0,0
0.00177,0,0,0
0.00176,0,0,0
0.00195,0,0,0
0.00073,0,0,0
0.00242,0,0,0
0.00206,0,0,0
0.00174,0,0,0
0.00174,0,0,0
0.00148,0,0,0
0.00028,0,0,0
0.00154,0,0,0
0.00022,0,0,0
0.00019,0,0,0
0.00162,0,0,0
0.00165,0,0,0
0.00166,0,0,0
0.00219,0,0,0
0.0016,0,0,0
0.00135,0,0,0
0.00099,0,0,0
0.00134,0,0,0
0.00195,0,0,0
0.00267,0,0,0
0.00277,0,0,0
0.00141,0,0,0
0.00138,0,0,0
0.00211,0,0,0
0.00038,0,0,0
0.0008,0,0,0
0.00125,0,0,0
0.00261,0,0,0
0.00255,0,0,0
0.00152,0,0,0
0.00146,0,0,0
0.00177,0,0,0
0.00042,0,0,0
0.00003,0,0,0
0.0024,0,0,0
0.00331,0,0,0
0.002,0,0,0
0.00117,0,0,0
0.00018,0,0,0
0.00034,0,0,0
0.00172,0,0,0
0.0009,0,0,0
0.00147,0,0,0
0.002,0,0,0
0.00175,0,0,0
0.00161,0,0,0
0.00099,0,0,0
0.00133,0,0,0
0.00138,0,0,0
0.00339,0,0,0
0.00218,0,0,0
0.00188,0,0,0
0.00159,0,0,0
0.00126,0,0,0
0.00039,0,0,0
0.00235,0,0,0
0.00119,0,0,0
0.00144,0,0,0
0.00217,0,0,0
0.00171,0,0,0
0.00161,0,0,0
0.00108,0,0,0
0.00066,0,0,0
0.0017,0,0,0
0.00137,0,0,0
0.00149,0,0,0
0.00195,0,0,0
0.00159,0,0,0
0.00148,0,0,0
0.00096,0,0,0
0.00069,0,0,0
0.00211,0,0,0
0.00132,0,0,0
0.00135,0,0,0
0.0021,0,0,0
0.00162,0,0,0
0.00157,0,0,0
0.00145,0,0,0
0.0009,0,0,0
0.00089,0,0,0
0.00156,0,0,0
0.00216,0,0,0
0.00282,0,0,0
0.00139,0,0,0
0.00122,0,0,0
0.00101,0,0,0
0.00028,0,0,0
0.00121,0,0,0
0.00206,0.00399065,0.000839879,0.001401259
0.00282,0.00511571,0.001079746,0.001799824
0.00092,0.01695424,0.003582228,0.005969336
0.00134,0.02950128,0.006240516,0.010393234
0.00132,0.03806251,0.008060856,0.013417428
0.00115,0.04500951,0.009543146,0.015878279
0.00008,0.05150829,0.010931404,0.018197541
0.00136,0.05678281,0.012088842,0.02019379
0.00283,0.06263078,0.013381414,0.022475691
0.00132,0.06436455,0.013773407,0.023192293
0.00133,0.06450062,0.013824134,0.023335944
0.0023,0.06739868,0.014487412,0.024559979
0.00111,0.07054203,0.01519774,0.025831891
0.00116,0.07172091,0.015509388,0.026397009
0.00044,0.07205497,0.015629908,0.026646089
0.0001,0.07150449,0.015552023,0.026561858
0.00106,0.06962667,0.015165374,0.025896129
0.00123,0.0671244,0.014636846,0.02498473
0.00167,0.06280054,0.013712239,0.023390232
0.00129,0.05784289,0.012642676,0.0215544
